trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
37,EMA-Cross-H4F,02/05/2018,07:00,BTC,Long,SL,-0.27,2h,102.41,H1_EMA100
38,EMA-Cross-H4F,06/06/2018,22:00,BTC,Long,SL,-0.6,37h,149.22,H1_EMA100
39,EMA-Cross-H4F,09/06/2018,02:30,BTC,Long,SL,-0.69,6h,81.08,H1_EMA100
40,EMA-Cross-H4F,01/07/2018,21:30,BTC,Long,SL,-1.0,7h,50.79,STRUCTURAL_SL
41,EMA-Cross-H4F,02/07/2018,13:30,BTC,Long,SL,-0.39,77h,275.74,H1_EMA100
42,EMA-Cross-H4F,06/07/2018,17:00,BTC,Long,SL,-1.0,1h,13.91,STRUCTURAL_SL
43,EMA-Cross-H4F,07/07/2018,23:30,BTC,Long,SL,-0.51,50h,257.52,H1_EMA100
44,EMA-Cross-H4F,21/07/2018,17:30,BTC,Long,SL,-1.0,6h,68.4,STRUCTURAL_SL
45,EMA-Cross-H4F,25/07/2018,23:00,BTC,Long,SL,-1.0,21h,141.56,STRUCTURAL_SL
46,EMA-Cross-H4F,27/07/2018,18:00,BTC,Long,SL,-1.0,20h,68.79,STRUCTURAL_SL
47,EMA-Cross-H4F,29/07/2018,14:00,BTC,Long,SL,-1.0,10h,89.34,STRUCTURAL_SL
48,EMA-Cross-H4F,30/07/2018,02:00,BTC,Long,SL,-0.64,12h,140.28,H1_EMA100
49,EMA-Cross-H4F,23/08/2018,22:30,BTC,Long,SL,-1.0,16h,54.82,STRUCTURAL_SL
50,EMA-Cross-H4F,26/08/2018,15:00,BTC,Long,SL,-1.0,1h,31.36,STRUCTURAL_SL
51,EMA-Cross-H4F,26/08/2018,19:30,BTC,Long,TP,2.74,88h,64.85,H1_EMA100
52,EMA-Cross-H4F,31/08/2018,05:00,BTC,Long,SL,-1.0,2h,53.18,STRUCTURAL_SL
53,EMA-Cross-H4F,31/08/2018,16:00,BTC,Long,TP,2.74,114h,55.07,H1_EMA100
54,EMA-Cross-H4F,17/09/2018,00:00,BTC,Long,SL,-1.0,4h,19.22,STRUCTURAL_SL
55,EMA-Cross-H4F,22/09/2018,19:00,BTC,Long,SL,-1.0,35h,94.33,STRUCTURAL_SL
56,EMA-Cross-H4F,29/09/2018,23:00,BTC,Long,SL,-1.0,1h,13.81,STRUCTURAL_SL
57,EMA-Cross-H4F,30/09/2018,23:00,BTC,Long,SL,-0.85,12h,67.7,H1_EMA100
58,EMA-Cross-H4F,08/10/2018,00:00,BTC,Long,SL,-0.31,38h,54.45,H1_EMA100
59,EMA-Cross-H4F,17/10/2018,17:00,BTC,Long,SL,-1.0,1h,7.5,STRUCTURAL_SL
60,EMA-Cross-H4F,20/10/2018,08:00,BTC,Long,SL,-0.56,10h,24.1,H1_EMA100
61,EMA-Cross-H4F,27/10/2018,23:00,BTC,Long,SL,-0.45,2h,22.31,H1_EMA100
62,EMA-Cross-H4F,05/11/2018,22:00,BTC,Long,TP,0.81,67h,32.03,H1_EMA100
63,EMA-Cross-H4F,30/12/2018,20:30,BTC,Long,SL,-0.42,5h,57.73,H1_EMA100
64,EMA-Cross-H4F,04/01/2019,23:30,BTC,Long,SL,-0.47,24h,73.7,H1_EMA100
65,EMA-Cross-H4F,06/01/2019,15:30,BTC,Long,SL,-1.0,87h,25.9,STRUCTURAL_SL
66,EMA-Cross-H4F,10/02/2019,18:30,BTC,Long,SL,-1.0,1h,7.45,STRUCTURAL_SL
67,EMA-Cross-H4F,12/02/2019,20:00,BTC,Long,SL,-1.0,1h,24.32,STRUCTURAL_SL
68,EMA-Cross-H4F,15/02/2019,05:00,BTC,Long,SL,-1.0,0h,8.99,STRUCTURAL_SL
69,EMA-Cross-H4F,16/02/2019,03:00,BTC,Long,SL,-1.0,9h,6.81,STRUCTURAL_SL
70,EMA-Cross-H4F,17/02/2019,23:30,BTC,Long,TP,6.0,159h,29.75,H1_EMA100
71,EMA-Cross-H4F,09/03/2019,07:30,BTC,Long,SL,-1.0,46h,50.65,STRUCTURAL_SL
72,EMA-Cross-H4F,12/03/2019,12:30,BTC,Long,SL,-1.0,3h,18.24,STRUCTURAL_SL
73,EMA-Cross-H4F,14/03/2019,02:00,BTC,Long,SL,-0.3,1h,17.3,H1_EMA100
